AREA,CAR_NAME,CLASS,LAP_TIME,LINK
Fire and Ice,LAMBORGHINI SIAN FKP 37,S,1:13.742,https://youtu.be/d3nDYJK-ASk?si=idpx0u1XcHocowEI&t=69
Fire and Ice,MCLAREN F1 LM,B,1:14.475,https://youtu.be/EIYBtX6dadg?si=mgmW-PCkAkMoWjLf
Fire and Ice,LAMBORGHINI TERZO MILLENNIO,S,1:14.870,https://youtu.be/_urRYqB5XQg?si=NVgNHbHGv7e2At73&t=247
Fire and Ice,VOLKSWAGEN W12 COUPE,B,1:16.522,https://youtu.be/uKFtbmYeWK0?si=5-mbk1xXcE7W9c8h&t=562
Fire and Ice,LAMBORGHINI AVENTADOR J,A,1:16.631,https://youtu.be/MFpGk1vuFVs?si=NTXgVPFpStjBt_Nw&t=9
Fire and Ice,PORSCHE 911 GT3 RS,B,1:17.476,https://youtu.be/ekfZD-7BYQw?si=-ILBV8_3mM3Y-DvP&t=11
Fire and Ice,NISSAN GTR-50 ITALDESIGN,B,1:17.626,https://youtu.be/4p1kD3V4_eU?si=SAYs4jN4b8DgMsiG&t=20
Fire and Ice,LAMBORGHINI HURACAN EVO SPYDER,B,1:17.705,https://youtu.be/5ayfsMeQhQs
Fire and Ice,FERRARI ENZO FERRARI,B,1:18.822,https://youtu.be/ddT9iMrNJ0U?t=515
Fire and Ice,MCLAREN 600LT SPIDER,B,1:19.694,https://youtu.be/Rc-npQ-ZN4A?t=410
Fire and Ice,NISSAN GT R NISMO,A,1:20.599,https://youtu.be/u-yIEWG_Oqo?t=21
Football & Politics,ASPARK OWL,S,0:39.664,https://youtu.be/d0V4bngyCO4?si=cj1nKoKK0Z5VXphu
Football & Politics,BUGATTI CHIRON,S,0:39.790,https://youtu.be/em2j7eCc_dU?si=B_juJL3itlCrxFMd
Football & Politics,VOLKSWAGEN W12 COUPE,B,0:42.023,https://youtu.be/QxL4x-ChT1I?si=cnRrQ1t3-w3HEmTc&t=12
Frozen Route,KOENIGSEGG JESKO,S,1:00.706,https://www.bilibili.com/video/BV1oj411h7Lg/?share_source=copy_web&t=560
Frozen Route,TVR GRIFFITH,D,1:14.660,https://youtu.be/ZGJsgvISBdM?si=a0tCX4VqVgE7JIZe&t=21
Future Road,SSC TUATARA,S,0:37.797,https://youtu.be/xpofzRK3I6U?t=24
Future Road,KOENIGSEGG JESKO,S,0:38.125,https://youtu.be/59l1OpUEJMs?t=237
Future Road,HENNESSEY VENOM F5,S,0:38.148,https://youtu.be/g1queIIZAnM?t=415
Future Road,KOENIGSEGG AGERA RS,S,0:38.495,https://youtu.be/pqsTsSELkoY?si=76jH9NgU4UW53AcB&t=5
Future Road,BUGATTI CHIRON,S,0:39.335,https://youtu.be/0C0HxnIXNfI?t=72
Gold Rush,HENNESSEY VENOM F5,S,0:54.386,https://youtu.be/udDXS06f-50?si=yMJF-AFrr9LQTEjl&t=87
Gold Rush,PAGANI HUAYRA BC,A,1:01.940,https://youtu.be/9FMS8qRjOZ0?t=29
Gold Rush,LAMBORGHINI SIAN FKP 37,S,1:02.359,https://youtu.be/Rc-npQ-ZN4A?t=1030
Gold Rush,VLF FORCE 1 V10,A,1:02.441,https://youtu.be/3IKCgIaN8vg?t=25
Gold Rush,PAGANI IMOLA,A,1:02.562,https://youtu.be/NY3r4hVfUuA?si=B6WMSrd0XlxIfV4c&t=1005
Gold Rush,LAMBORGHINI AVENTADOR J,A,1:02.780,https://youtu.be/Nku2kn7cYIg?si=B0p-uxGyRlE8QIV5&t=362
Hairpin Sprint,RIMAC NEVERA,S,0:30.689,https://youtu.be/lw44jh1uQXU?t=12
Hairpin Sprint,LAMBORGHINI MURCIELAGO LP 640 ROADSTER,B,0:33.872,https://youtu.be/akJrByhuyo0?t=25
Hairpin Sprint,PININFARINA H2 SPEED,C,0:35.795,https://youtu.be/5cG8upAKAJE?si=ZKIkco2LRRWcCU6i&t=253
Harbor Run,PORSCHE 911 GT3 RS,B,0:39.927,https://youtu.be/fvqvpKWBHW0?si=rKvh_hQjoW7AJs1r&t=5
Harbor Run,VANDA ELECTRICS DENDROBIUM,A,0:39.843,https://youtu.be/0DHrmEhmQ_w?si=VWLTLnEab5XCcTH0&t=6
Harbor Run,PORSCHE CARRERA GT,B,0:41.118,https://youtu.be/fMgEeIJlRyw?t=13
Harbor Run,APEX AP-0,B,0:41.535,https://youtu.be/PRksOredFs0?si=uVVozJSonexuSqRC&t=7
Harbor Run,FERRARI 599XX EVO,C,0:41.989,https://youtu.be/dc1qippUb90?si=6A3YRGvbBK9d5pJE&t=705
Harbor Run,ASTON MARTIN ONE77,B,0:42.717,https://youtu.be/giu0WeBWdZg?si=9LVL7UhJZgbNrZG5&t=348
Harbor Run,MCLAREN GT,C,0:44.451,https://youtu.be/B1RGTBzuY2M?t=249
Hotel Road,BUGATTI DIVO,S,0:28.873,https://youtu.be/gVWAVgkDvqg?t=354
Icy Loop,CHEVROLET CORVETTE GRAND SPORT,B,1:00.450,https://youtu.be/T0W0JP2BXrk?si=Bv4EN8wzDyOwxEl9&t=8
Icy Loop,ACURA NSX GT3 EVO,C,1:02.380,https://youtu.be/VUC_nDUDcPA?si=dzw2NSj5GFRu-snL&t=690
Icy Loop,PININFARINA H2 SPEED,C,1:03.972,https://youtu.be/9gWikY72k8Q?t=268
Islet Race,FERRARI F8 TRIBUTO,A,0:30.159,https://youtu.be/F3eczvSsVeo?si=42GcC2ZYwQLvfA31&t=277
Journey to the Center,HENNESSEY VENOM F5,S,0:39.024,https://youtu.be/xiaLvVkRXNY?si=anLErkB8RE2k5CAv
Journey to the Center,SSC TUATARA,S,0:39.510,https://youtu.be/5K25iYTd2X8
Journey to the Center,BUGATTI CHIRON,S,0:39.548,https://youtu.be/oyMyl2N9abg?si=2fN9JK3vwS48JhnB&t=21
Journey to the Center,KOENIGSEGG JESKO,S,0:39.568,https://youtu.be/heGOW5cOhKo?t=10
Journey to the Center,BUGATTI LA VOITURE NOIRE,S,0:40.738,https://youtu.be/4YQ5AZecKDI
Journey to the Center,TRION NEMESIS,S,0:41.434,https://youtu.be/4THp2deK19U?t=584
